Term;Count;%;PValue;Genes;List Total;Pop Hits;Pop Total;Fold Enrichment;Bonferroni;Benjamini;FDR
protein folding;12;1,699716714;0,003640095;AT2G32120, AT5G07340, AT5G42020, AT3G47940, AT5G58710, AT1G56340, AT5G28540, AT1G77510, AT3G62600, AT4G21870, AT5G61790, AT1G21750;610;157;22569;2,827900178;0,96119638;0,294847671;0,293854918
wax biosynthetic process;5;0,708215297;0,008242698;AT1G49430, AT4G24510, AT1G02205, AT5G37300, AT1G21540;610;30;22569;6,166393443;0,999373073;0,594897099;0,592894079
auxin-activated signaling pathway;14;1,983002833;0,008679756;AT5G18030, AT3G27580, AT2G33310, AT3G23030, AT3G28860, AT3G53480, AT3G04730, AT4G32280, AT1G75950, AT1G29440, AT3G62980, AT5G12050, AT3G07390, AT5G18060;610;226;22569;2,291933846;0,999576696;0,594897099;0,592894079
response to jasmonic acid;23;3,257790368;0,009496232;AT1G15520, AT3G03760, AT5G19460, AT4G39190, AT3G51430, AT5G40350, AT5G42860, AT4G30500, AT2G43535, AT3G24420, AT4G01080, AT1G17750, AT1G10410, AT5G62150, AT4G22780, AT5G46050, AT3G22415, AT3G44860, AT5G38200, AT3G43270, AT4G34710, AT5G38130, AT5G58680;610;471;22569;1,806714002;0,999796852;0,604367366;0,602332459
carbohydrate biosynthetic process;4;0,566572238;0,013728852;AT5G51830, AT1G71970, AT1G49200, AT3G60520;610;19;22569;7,789128559;0,999995526;0,776926273;0,77431036
UDP-galactose transmembrane transport;3;0,424929178;0,013951538;AT1G77610, AT4G39390, AT4G31600;610;7;22569;15,85644028;0,999996341;0,776926273;0,77431036
induced systemic resistance;4;0,566572238;0,018109116;AT4G39950, AT4G31500, AT4G24180, AT2G30770;610;21;22569;7,047306792;0,999999915;0,949130717;0,94593499
response to light stimulus;42;5,949008499;0,02021164;AT1G12330, AT4G28556, AT4G26555, AT4G22190, AT2G17730, AT3G24420, AT5G24460, AT3G59580, AT5G47140, AT4G25780, AT1G17090, AT1G71340, AT1G21480, AT5G04530, AT4G35783, AT2G47560, AT2G14910, AT4G03400, AT3G48280, AT3G07310, AT1G09490, AT5G19460, AT1G64720, AT3G49110, AT3G50340, AT5G63980, AT3G60520, AT4G00050, AT1G67590, AT5G62150, AT1G51402, AT3G15430, AT5G56860, AT1G21350, AT1G71970, AT3G14220, AT5G04440, AT2G26710, AT2G05310, AT2G42520, AT2G26250, AT5G58340;610;1089;22569;1,42693402;0,999999987;1;0,997107586
signal peptide processing;4;0,566572238;0,023176662;AT2G22425, AT3G05230, AT2G03120, AT1G52600;610;23;22569;6,434497505;0,999999999;1;0,997752809
stamen development;4;0,566572238;0,02893336;AT5G40350, AT2G03710, AT3G28860, AT3G62980;610;25;22569;5,919737705;1;1;0,997752809
proteasomal ubiquitin-independent protein catabolic process;4;0,566572238;0,02893336;AT1G56450, AT1G77440, AT4G31300, AT2G27020;610;25;22569;5,919737705;1;1;0,997752809
response to hypoxia;8;1,133144476;0,029578415;AT1G10140, AT5G65207, AT5G38200, AT3G27770, AT3G24420, AT3G60520, AT4G27450, AT4G22780;610;110;22569;2,690789866;1;1;0,997752809
response to far red light;5;0,708215297;0,032707;AT4G32280, AT3G28860, AT1G09570, AT2G01570, AT4G00050;610;45;22569;4,110928962;1;1;0,997752809
posttranslational protein targeting to membrane, translocation;3;0,424929178;0,034025205;AT4G24920, AT5G50460, AT2G34250;610;11;22569;10,090462;1;1;0,997752809
cuticle development;4;0,566572238;0,038848255;AT2G46720, AT1G02205, AT5G05660, AT2G26250;610;28;22569;5,285480094;1;1;0,997752809
regulation of glucosinolate biosynthetic process;3;0,424929178;0,04011313;AT4G39940, AT2G25450, AT2G14750;610;12;22569;9,249590164;1;1;0,997752809
chaperone mediated protein folding requiring cofactor;5;0,708215297;0,040131094;AT5G18140, AT2G32120, AT5G42020, AT3G47940, AT5G28540;610;48;22569;3,853995902;1;1;0,997752809
negative regulation of seed germination;4;0,566572238;0,042488838;AT5G56860, AT2G20180, AT2G01570, AT4G00050;610;29;22569;5,103222159;1;1;0,997752809
ER to Golgi vesicle-mediated transport;7;0,991501416;0,043678555;AT3G22845, AT1G14010, AT1G21900, AT3G07680, AT2G18840, AT4G30260, AT5G58030;610;95;22569;2,726194996;1;1;0,997752809
regulation of developmental growth;6;0,849858357;0,044978576;AT1G13970, AT3G11690, AT1G55460, AT1G67480, AT4G25780, AT3G11850;610;72;22569;3,083196721;1;1;0,997752809
unidimensional cell growth;10;1,416430595;0,045530333;AT3G55500, AT3G49110, AT2G22425, AT1G50890, AT5G39860, AT2G18840, AT4G30260, AT2G03680, AT5G66680, AT4G22130;610;173;22569;2,138633564;1;1;0,997752809
gravitropism;5;0,708215297;0,051397238;AT5G18460, AT1G09570, AT5G49665, AT1G08190, AT1G31930;610;52;22569;3,557534678;1;1;0,997752809
protein glycosylation;8;1,133144476;0,052922313;AT5G25820, AT1G27350, AT1G34130, AT1G21480, AT1G71990, AT1G71220, AT2G26100, AT1G32210;610;125;22569;2,367895082;1;1;0,997752809
fatty acid biosynthetic process;8;1,133144476;0,052922313;AT3G06850, AT1G49430, AT5G51830, AT2G46720, AT4G30500, AT1G79750, AT5G04530, AT2G26250;610;125;22569;2,367895082;1;1;0,997752809
regulation of protein transport;2;0,283286119;0,053240864;AT2G18840, AT4G30260;610;2;22569;36,99836066;1;1;0,997752809
arabinose biosynthetic process;2;0,283286119;0,053240864;AT5G15650, AT1G30620;610;2;22569;36,99836066;1;1;0,997752809
protein refolding;4;0,566572238;0,054388156;AT5G18140, AT2G32120, AT5G42020, AT5G28540;610;32;22569;4,624795082;1;1;0,997752809
response to organonitrogen compound;11;1,558073654;0,057887978;AT3G22415, AT5G65207, AT3G63450, AT3G29670, AT1G27350, AT3G04350, AT5G50460, AT1G67000, AT3G25597, AT5G58680, AT5G21950;610;209;22569;1,94728214;1;1;0,997752809
response to karrikin;8;1,133144476;0,058669402;AT1G31350, AT5G64410, AT1G61800, AT2G46170, AT4G34710, AT2G26250, AT4G14440, AT1G60090;610;128;22569;2,312397541;1;1;0,997752809
intracellular sequestering of iron ion;3;0,424929178;0,060528003;AT5G01600, AT1G21140, AT1G76800;610;15;22569;7,399672131;1;1;0,997752809
proteasome-mediated ubiquitin-dependent protein catabolic process;7;0,991501416;0,062592629;AT1G27840, AT1G56450, AT3G21660, AT1G77440, AT4G31300, AT2G27020, AT3G24800;610;104;22569;2,490274275;1;1;0,997752809
response to ethylene;9;1,274787535;0,066950859;AT4G22360, AT1G15520, AT3G51430, AT1G58440, AT1G04180, AT4G24180, AT2G01570, AT4G13260, AT1G31930;610;159;22569;2,09424683;1;1;0,997752809
response to heat;11;1,558073654;0,067490798;AT4G36990, AT2G32120, AT1G15520, AT5G42020, AT1G79930, AT5G28540, AT4G21870, AT4G08230, AT5G65020, AT2G38750, AT5G53170;610;215;22569;1,892939382;1;1;0,997752809
root hair cell development;4;0,566572238;0,067697126;AT1G75110, AT4G31600, AT2G17720, AT3G25710;610;35;22569;4,228384075;1;1;0,997752809
camalexin biosynthetic process;3;0,424929178;0,067971507;AT4G39950, AT4G27260, AT2G30770;610;16;22569;6,937192623;1;1;0,997752809
negative regulation of programmed cell death;3;0,424929178;0,067971507;AT3G23450, AT1G32210, AT5G47120;610;16;22569;6,937192623;1;1;0,997752809
pollen wall assembly;3;0,424929178;0,075697551;AT5G14380, AT3G57280, AT3G55090;610;17;22569;6,529122469;1;1;0,997752809
pattern recognition receptor signaling pathway;3;0,424929178;0,075697551;AT3G49110, AT3G62600, AT2G25110;610;17;22569;6,529122469;1;1;0,997752809
cellular response to unfolded protein;3;0,424929178;0,075697551;AT2G32120, AT5G42020, AT5G28540;610;17;22569;6,529122469;1;1;0,997752809
response to iron ion starvation;3;0,424929178;0,075697551;AT1G47395, AT1G78830, AT3G53480;610;17;22569;6,529122469;1;1;0,997752809
phosphatidylinositol-mediated signaling;3;0,424929178;0,075697551;AT5G09350, AT5G58700, AT5G63980;610;17;22569;6,529122469;1;1;0,997752809
response to cold;18;2,549575071;0,078125589;AT5G01600, AT1G15520, AT5G63980, AT3G60520, AT5G47230, AT5G65020, AT2G38750, AT4G22780, AT2G37770, AT4G39730, AT4G34710, AT5G04530, AT2G01570, AT2G26250, AT5G58340, AT1G80820, AT2G27020, AT2G45660;610;431;22569;1,545175155;1;1;0,997752809
cellular response to water deprivation;4;0,566572238;0,08233001;AT2G43350, AT1G15520, AT3G10550, AT3G03740;610;38;22569;3,89456428;1;1;0,997752809
response to light intensity;11;1,558073654;0,086937587;AT1G10150, AT4G03420, AT4G01330, AT3G29670, AT1G25230, AT3G27770, AT3G13750, AT2G24100, AT1G67480, AT5G58340, AT4G27450;610;226;22569;1,800805165;1;1;0,997752809
defense response to bacterium;37;5,240793201;0,086962592;AT1G16930, AT4G39190, AT4G31500, AT3G29670, AT3G04350, AT3G29034, AT3G25597, AT2G30770, AT1G10410, AT5G67350, AT5G46050, AT4G21903, AT4G39820, AT1G02205, AT5G13320, AT5G38200, AT4G25900, AT3G11320, AT3G05390, AT2G40750, AT2G25110, AT1G06840, AT2G46650, AT1G66920, AT3G49110, AT1G33520, AT1G17750, AT1G28390, AT4G22780, AT1G69370, AT4G39950, AT1G73550, AT2G43590, AT1G22180, AT5G65600, AT2G04100, AT2G25000;610;1053;22569;1,300037364;1;1;0,997752809
protein ubiquitination;24;3,399433428;0,089970181;AT5G47430, AT5G67440, AT1G63840, AT5G40250, AT1G31350, AT5G49665, AT1G65040, AT2G38185, AT3G03740, AT3G24800, AT1G75950, AT2G42360, AT5G64920, AT5G05660, AT4G37590, AT3G61550, AT3G60220, AT3G62980, AT1G49200, AT3G47550, AT4G17410, AT2G47560, AT1G53190, AT5G22920;610;632;22569;1,405001038;1;1;0,997752809
signal transduction;34;4,815864023;0,098233492;AT5G66480, AT5G18300, AT5G61250, AT1G67000, AT2G33060, AT5G14720, AT4G03010, AT5G67350, AT4G11670, AT4G39820, AT2G46710, AT2G25510, AT4G19530, AT2G24100, AT1G06840, AT1G66920, AT5G01810, AT5G44400, AT3G25020, AT3G49750, AT5G46520, AT2G34180, AT4G22780, AT5G62150, AT1G73550, AT3G15430, AT1G22180, AT4G13920, AT1G74200, AT1G78540, AT5G58680, AT2G45570, AT5G01850, AT5G16080;610;967;22569;1,300873074;1;1;0,997752809
response to red light;6;0,849858357;0,099788233;AT2G32560, AT4G32280, AT4G31500, AT1G29120, AT3G23880, AT5G66580;610;91;22569;2,439452351;1;1;0,997752809
